,part_name,part_id,voice_id,instrument_name,metronome_mark,quarter_bpm,time_signature,scale,element_class_name,pitch_name,pitch_class,octave,velocity,quarter_length,offset
9964,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,70.0,1.0,0.0
9965,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,64.0,1.0,0.0
9966,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,64.0,1.0,0.0
9967,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,62.0,1.0,0.0
9968,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,64.0,1.0,0.0
9969,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,64.0,1.0,0.0
9970,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,63.0,1.0,0.0
9971,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,65.0,1.0,0.0
9972,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,65.0,1.0,0.0
9973,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,64.0,1.0,0.0
9974,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,G,7.0,4.0,65.0,1.0,0.0
9975,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,B-,10.0,4.0,65.0,1.0,0.0
9976,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,3.0,63.0,1.0,0.0
9977,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,67.0,1.0,0.0
9978,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,5.0,67.0,1.0,0.0
9979,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,68.0,1.0,0.0
9980,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,61.0,1.0,0.0
9981,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,61.0,1.0,0.0
9982,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,63.0,1.0,0.0
9983,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,63.0,1.0,0.0
9984,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,64.0,1.0,0.0
9985,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,64.0,1.0,0.0
9986,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,69.0,1.0,0.0
9987,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,64.0,1.0,0.0
9988,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,64.0,1.0,0.0
9989,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,64.0,1.0,0.0
9990,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,65.0,1.0,0.0
9991,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,65.0,1.0,0.0
9992,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,62.0,1.0,0.0
9993,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,64.0,1.0,0.0
9994,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,64.0,1.0,0.0
9995,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,64.0,1.0,0.0
9996,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,G,7.0,4.0,68.0,1.0,0.0
9997,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,B-,10.0,4.0,68.0,1.0,0.0
9998,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,3.0,60.0,1.0,0.0
9999,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,65.0,1.0,0.0
10000,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,5.0,65.0,1.0,0.0
10001,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,66.0,1.0,0.0
10002,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,61.0,1.0,0.0
10003,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,61.0,1.0,0.0
10004,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,61.0,1.0,0.0
10005,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,61.0,1.0,0.0
10006,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,92.0,1.0,0.0
10007,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,96.0,1.0,0.0
10008,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,93.0,1.0,0.0
10009,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,95.0,1.0,0.0
10010,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,103.0,1.0,0.0
10011,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,97.0,1.0,0.0
10012,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,95.0,1.0,0.0
